,idx,Date,CBAK_Bat,ENS_Bat,TIA_Bat,ALB_Min,LAC_Min,SQM_Min,ALB_sentiment_nltk,CBAK_sentiment_nltk,ENS_sentiment_nltk,LAC_sentiment_nltk,SQM_sentiment_nltk,TIA_sentiment_nltk,lithium_sentiment_nltk,ALB_sentiment_TextBlob,CBAK_sentiment_TextBlob,ENS_sentiment_TextBlob,LAC_sentiment_TextBlob,SQM_sentiment_TextBlob,TIA_sentiment_TextBlob,lithium_sentiment_TextBlob,ALB_1_temp,ALB_1_humidity,ALB_1_windspeed,ALB_1_conditions,ALB_2_temp,ALB_2_humidity,ALB_2_windspeed,ALB_2_conditions,LAC_1_temp,LAC_1_humidity,LAC_1_windspeed,LAC_1_conditions,LAC_2_temp,LAC_2_humidity,LAC_2_windspeed,LAC_2_conditions,SQM_1_temp,SQM_1_humidity,SQM_1_windspeed,SQM_1_conditions,SQM_2_temp,SQM_2_humidity,SQM_2_windspeed,SQM_2_conditions
34,34,23/02/2015,0.02999997138977,0.3799972534179687,0.0,0.0900001525878906,0.0,-0.2044792175293004,0.0,0.0,0.4144,0.096125,0.0,0.0,0.26313333333333333,0.0,0.0,0.25,0.03409090909090909,0.0,0.0,0.11666666666666665,2.6,34.1,30.1,2,15.9,22.7,33.1,0,21.1,88.6,16.9,5,20.1,88.1,27.8,5,15.9,22.7,33.1,0,19.5,77.4,25.9,2
35,35,24/02/2015,0.0299999713897705,0.3700027465820312,0.0,0.5200004577636719,0.75,0.0389480590820277,0.0,0.0,0.0,0.0,0.0,0.0,-0.0734,0.0,0.0,0.05833333333333333,0.05,0.0,0.0,-0.011111111111111108,5.6,18.4,32.2,0,16.2,18.7,32.8,0,21.7,86.5,23.8,5,21.2,87.2,30.2,5,16.2,18.7,32.8,0,20.0,72.2,27.7,2
36,36,25/02/2015,0.0799999237060551,0.0100021362304687,0.0,0.25,-0.150000095367432,0.3505344390869211,0.14165,0.0,0.0,0.0,0.0,0.0,0.4753,0.16666666666666666,0.0,0.0,0.13636363636363635,0.0,0.0,0.5,8.9,17.2,34.3,0,16.1,18.5,30.6,0,24.5,77.1,11.9,5,23.5,79.2,16.4,5,16.1,18.5,30.6,0,19.5,67.7,25.9,2
37,37,26/02/2015,0.1700000762939448,0.1999969482421875,0.1665742989540102,-0.0300025939941406,-0.0499999523162841,-0.3213233947753977,0.4404,0.0,-0.2732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,28.1,40.7,0,15.2,25.8,35.3,0,17.3,85.3,23.8,5,17.4,91.3,25.2,5,15.2,25.8,35.3,0,19.8,68.1,22.3,2
38,38,27/02/2015,0.0199999809265136,-0.1199951171875,-0.0532803209304808,0.2700004577636719,0.0499999523162841,-0.1363182067871093,0.148,0.0,0.0,0.0,0.0,0.0,0.837,0.026515151515151512,0.0,0.07291666666666666,0.0,0.0,0.0,0.0,5.4,42.8,22.8,2,14.3,39.7,36.0,3,17.3,85.9,23.3,5,17.7,89.5,25.2,5,14.3,39.7,36.0,3,20.7,61.2,22.3,0
39,39,02/03/2015,-0.1700000762939453,1.2599945068359375,0.0327879768371579,0.1100006103515625,0.0499999523162841,-0.0584239959716796,0.1101,0.0,0.0,0.0,0.0,0.0,0.0,0.12954545454545455,0.0,0.5,0.0,0.125,0.0,-0.07692307692307693,2.4,68.9,22.9,10,14.8,30.0,32.0,0,22.4,83.3,16.6,5,21.7,82.5,21.2,5,14.8,30.0,32.0,0,19.5,73.7,25.9,0
40,40,03/03/2015,-0.0799999237060546,-0.55999755859375,-0.0322024570465089,0.0600013732910156,-0.0499999523162841,-0.0097370147705042,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,54.6,41.7,10,14.1,27.2,28.1,0,23.3,75.5,21.9,5,22.0,81.6,20.4,5,14.1,27.2,28.1,0,19.5,72.0,31.7,2
41,41,04/03/2015,0.0199999809265136,-0.0400009155273437,-0.0380573720932004,-1.3400001525878906,0.0999999046325683,0.0584239959716832,-0.1120166666666667,0.0,0.0,0.0,-0.04177142857142857,0.0,0.2202,0.0,0.0,0.0,0.0,-0.008116883116883118,0.0,0.2375,3.2,34.6,20.9,0,15.2,25.9,32.0,0,21.6,86.5,13.2,5,21.3,85.1,17.6,5,15.2,25.9,32.0,0,18.9,72.7,27.7,2
42,42,05/03/2015,-0.0099999904632568,-0.0499954223632812,0.0673322301864622,-0.1200027465820241,-0.1999998092651362,-0.2726402282714844,0.0,0.0,0.0,-0.09509999999999999,-0.05464,0.0,-0.1027,0.0,0.0,0.0,0.0,-0.025,0.0,-0.5,4.3,33.6,15.7,0,15.0,23.8,34.2,2,19.9,90.4,19.4,5,20.1,88.5,21.2,5,15.0,23.8,34.2,2,18.8,72.4,24.1,2
43,43,06/03/2015,0.0299999713897705,-0.4300003051757812,-0.0731872866630554,-0.4499969482421946,0.0499999523162837,-0.7594928741455078,0.0,0.0,0.0,-0.34,-0.35015,0.0,0.0,0.0,0.0,0.0,-0.1,-0.03571428571428571,0.0,0.3125,7.6,26.5,19.1,0,15.9,24.8,33.8,0,23.5,82.1,11.4,5,22.5,82.7,14.5,5,15.9,24.8,33.8,0,18.6,72.7,25.9,0
44,44,09/03/2015,-0.0199999809265136,0.2999954223632812,-0.0386427504539488,0.0699996948242187,0.0499999523162841,-0.4284324645996094,0.0,0.0,0.2958,-0.0258,0.0,0.0,-0.41355,0.0,0.0,-0.026363636363636367,0.0,-0.0375,0.0,0.125,10.9,20.6,20.7,0,17.8,31.2,34.6,0,23.3,80.2,20.5,2,22.7,79.3,25.6,2,17.8,31.2,34.6,0,18.6,74.1,25.9,0
45,45,10/03/2015,-0.0399999618530273,-1.5699996948242188,-0.0137592907905577,-0.5600013732910156,-0.0499999523162841,-0.3018493652343785,0.11333333333333334,0.0,0.34,-0.0258,-0.04348,0.0,-0.34400625,0.0,0.0,0.0,0.0,0.0,0.0,0.04826388888888889,10.5,20.2,22.4,0,17.9,32.3,33.5,0,23.8,79.3,19.4,2,23.0,79.2,30.9,2,17.9,32.3,33.5,0,19.1,74.2,24.1,0
46,46,11/03/2015,-0.0299999713897705,0.2099990844726562,-0.048596445465088,-0.7999992370605469,0.0499999523162841,-0.5063304901123011,0.17616,-0.7096,-0.42055,-0.0258,-0.5322,0.0,0.0,0.01,0.0,0.0045454545454545435,0.08409090909090909,0.0,0.0,0.0,12.0,29.6,28.2,2,17.8,30.3,33.1,0,24.6,76.0,11.9,2,23.3,75.6,16.4,2,17.8,30.3,33.1,0,19.8,74.5,24.1,2
47,47,12/03/2015,-0.0099999904632568,1.3100051879882812,0.009953553581238,0.1100006103515625,0.0,-0.2726383209228551,0.0,0.0,-0.07655,0.0,-0.09866666666666667,0.0,0.0,0.006666666666666666,0.0,0.15,0.0,-0.08333333333333333,0.0,0.0,11.0,43.9,24.6,0,16.5,36.6,33.5,0,24.5,74.2,14.0,2,23.0,78.5,14.6,2,16.5,36.6,33.5,0,20.9,71.3,24.1,2
48,48,13/03/2015,-0.0199999809265132,-1.3000030517578125,-0.0670396117210392,-0.710002899169929,-0.0999999046325679,-0.6426486968994141,0.3182,0.0,0.04466,0.0,0.0,0.0,0.11235,0.0,0.0,-0.008181818181818182,0.0,-0.08333333333333333,0.0,0.17857142857142858,11.9,33.2,19.4,0,15.4,38.5,33.1,0,24.9,74.2,17.9,2,23.2,76.9,16.5,2,15.4,38.5,33.1,0,20.6,72.0,20.5,2
49,49,16/03/2015,0.02999997138977,0.1999969482421875,0.0281039599418639,-0.1499977111816335,0.0,0.0876331329345703,0.0,0.0,0.14232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9,28.4,28.9,0,15.4,49.0,33.5,2,21.8,90.5,11.2,5,20.7,89.0,14.6,4,15.4,49.0,33.5,2,20.7,74.0,18.4,2
50,50,17/03/2015,0.1399998664855957,1.3600006103515625,-0.0076114744186397,-0.2999992370605469,-0.0500001907348637,-0.3992195129394531,0.0,0.0,-0.090975,-0.2202,0.039584210526315784,0.0,0.03533333333333333,0.0,0.0,0.1,0.05606060606060606,-0.013157894736842105,0.0,0.39999999999999997,13.7,27.7,14.6,0,15.3,46.9,32.0,2,22.6,87.3,9.4,5,20.8,90.8,14.5,4,15.3,46.9,32.0,2,20.3,80.3,22.3,2
51,51,18/03/2015,0.0299999713897705,0.3400039672851562,0.05006010351181,0.2599983215332031,0.0500001907348637,-3.3592987060546875,-0.04933333333333333,0.0,-0.0683,0.0,-0.04322328767123285,0.0,-0.28559999999999997,0.08333333333333333,0.0,0.049761904761904764,0.0,-0.022088266882787432,0.0,0.16666666666666666,13.8,28.6,25.8,0,15.6,51.2,31.0,4,23.8,81.8,16.1,5,21.8,85.2,13.1,5,15.6,51.2,31.0,4,20.7,75.5,18.4,2
52,52,19/03/2015,0.0500001907348637,-0.5800018310546875,0.0456688465118408,-1.0800018310546875,-0.0500001907348637,-0.7594947814941406,0.0,0.0,-0.09165000000000001,-0.3825,-0.09384999999999999,0.0,0.0,0.0,0.0,0.0,-0.35,-0.003016887626262628,0.0,0.0,12.9,23.9,26.6,0,15.3,57.9,33.5,5,21.4,83.8,12.2,2,21.1,84.5,14.6,2,15.3,57.9,33.5,5,21.4,72.4,20.5,2
