name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
jujuy argentina,2015-09-25,17.6,12.9,14.7,17.6,12.9,14.7,10.5,79.4,0.3,100,12.5,rain,,,,32.4,204.2,,87.7,8.5,322,27.6,10,,2015-09-25T07:07:48,2015-09-25T19:18:22,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"87047099999,SASJ,SASA,87046099999,remote"
jujuy argentina,2015-09-26,19.1,9.1,14.7,19.1,9.1,14.7,10.2,75.3,0.3,100,12.5,rain,,,,16.3,168.1,,72.6,9.7,331.7,28.5,10,,2015-09-26T07:06:46,2015-09-26T19:18:44,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"87047099999,SASJ,SASA,87046099999"
jujuy argentina,2015-09-27,25.6,12.5,17.7,25.6,12.5,17.7,8.9,60.3,0,0,0,,,,,22.3,195.6,,40.1,10.3,329.3,28.4,10,,2015-09-27T07:05:43,2015-09-27T19:19:05,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87047099999,SASJ,SASA,87046099999,remote"
jujuy argentina,2015-09-28,28.7,11.6,19.7,27.9,11.6,19.6,9.9,56.5,0,0,0,,,,,16,214,,3,10.1,329.7,28.5,10,,2015-09-28T07:04:41,2015-09-28T19:19:27,0.5,Clear,Clear conditions throughout the day.,clear-day,"87047099999,SASJ,SASA,87046099999"
jujuy argentina,2015-09-29,30.5,13.5,22.3,29,13.5,22,11.1,52.6,0,0,0,,,,,25.4,194.3,,37.8,10.3,306.7,26.4,10,,2015-09-29T07:03:39,2015-09-29T19:19:49,0.52,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"87047099999,SASJ,SASA,87046099999"
jujuy argentina,2015-09-30,23.6,7,18.4,23.6,7,18.4,12,67.3,0,0,0,,,,,31.2,200.8,,88.6,9.9,308.8,26.5,10,,2015-09-30T07:02:37,2015-09-30T19:20:11,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87047099999,SASJ,SASA,87046099999,remote"
jujuy argentina,2015-10-01,30.7,9,20.6,29.9,9,20.4,12.2,63,0,0,0,,,,,18.7,186.7,,9.5,10.4,333.3,28.8,10,,2015-10-01T07:01:35,2015-10-01T19:20:34,0.58,Clear,Clear conditions throughout the day.,clear-day,"87047099999,SASJ,SASA,87046099999,remote"
jujuy argentina,2015-10-02,27.5,14,20.1,27.7,14,20.1,11.5,59.3,0,0,0,,,,55.4,38.4,223.8,,62.4,9.3,230.8,19.9,9,,2015-10-02T07:00:34,2015-10-02T19:20:56,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87047099999,SASJ,SASA,87046099999"
jujuy argentina,2015-10-03,15.9,10.2,14.2,15.9,10.2,14.2,9.4,72.6,0,0,0,,,,,20,142.6,,99,10.3,230.1,19.8,9,,2015-10-03T06:59:33,2015-10-03T19:21:19,0.68,Overcast,Cloudy skies throughout the day.,cloudy,"87047099999,SASJ,SASA,87046099999"
jujuy argentina,2015-10-04,20,8.2,14.8,20,7.7,14.8,9.1,70.7,0,0,0,,,,,17.9,169.9,,70.2,10,343.9,29.6,10,,2015-10-04T06:58:32,2015-10-04T19:21:43,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87047099999,SASJ,SASA,87046099999,remote"
