datetime,LAC_1_temp,LAC_1_humidity,LAC_1_windspeed,LAC_1_conditions
2015-12-03,24.0,60.4,25.6,2
2015-12-04,25.3,64.5,23.9,5
2015-12-05,19.2,84.5,40.9,4
2015-12-06,21.0,67.2,16.0,5
2015-12-07,19.1,73.8,21.5,2
2015-12-08,22.3,69.2,13.5,2
2015-12-09,23.1,64.8,42.3,2
2015-12-10,21.5,71.5,28.4,2
2015-12-11,21.3,60.2,23.0,0
2015-12-12,24.5,50.1,20.5,0
2015-12-13,25.2,69.0,25.4,5
2015-12-14,26.8,66.2,25.9,5
2015-12-15,24.8,62.6,29.4,5
2015-12-16,24.0,71.8,20.3,2
2015-12-17,27.7,63.2,17.6,0
2015-12-18,23.4,73.2,33.7,5
2015-12-19,16.9,70.5,17.6,4
2015-12-20,19.6,69.6,18.8,2
2015-12-21,21.9,71.5,14.8,2
2015-12-22,24.3,65.4,17.1,2
2015-12-23,25.5,62.3,27.0,5
2015-12-24,21.3,76.5,23.6,5
2015-12-25,22.1,74.6,13.5,2
2015-12-26,22.6,69.6,25.6,2
2015-12-27,25.6,64.5,27.7,5
2015-12-28,21.7,82.5,18.3,5
2015-12-29,24.9,73.6,14.2,5
2015-12-30,27.3,60.7,15.0,2
2015-12-31,24.7,68.0,28.0,5
2016-01-01,21.4,79.9,14.8,4
2016-01-02,24.7,72.2,16.6,5
2016-01-03,23.8,73.4,23.6,5
2016-01-04,25.9,67.8,15.6,2
2016-01-05,24.2,78.1,25.2,5
2016-01-06,22.5,81.1,23.4,5
2016-01-07,24.1,76.8,13.0,5
2016-01-08,23.7,83.0,24.1,5
2016-01-09,23.3,78.9,25.9,5
2016-01-10,24.0,74.6,13.5,5
2016-01-11,24.8,77.1,18.4,5
2016-01-12,26.0,70.0,16.6,5
2016-01-13,21.6,84.8,30.9,5
2016-01-14,20.9,75.4,20.9,5
2016-01-15,24.0,71.5,12.9,5
2016-01-16,24.0,79.0,14.0,5
2016-01-17,24.8,77.2,19.4,5
2016-01-18,23.7,80.7,29.4,5
2016-01-19,23.9,69.7,18.7,0
2016-01-20,23.7,66.8,20.9,0
2016-01-21,23.4,65.0,33.5,0
2016-01-22,25.2,63.0,20.8,0
2016-01-23,26.4,61.0,20.5,2
2016-01-24,25.8,59.6,20.5,0
2016-01-25,24.2,64.7,27.5,5
2016-01-26,20.9,77.0,24.6,5
2016-01-27,19.9,76.1,15.0,2
2016-01-28,22.6,75.7,15.0,1
2016-01-29,25.6,69.5,13.7,5
2016-01-30,22.4,79.2,28.5,5
2016-01-31,20.3,78.5,23.9,4
2016-02-01,19.6,82.7,14.5,4
2016-02-02,19.7,89.0,13.0,4
2016-02-03,21.7,77.4,22.3,2
2016-02-04,22.9,74.4,14.8,5
2016-02-05,22.5,75.3,16.6,5
2016-02-06,22.5,79.0,18.4,5
2016-02-07,22.7,83.8,20.5,5
2016-02-08,24.9,79.5,14.8,5
2016-02-09,20.9,85.2,17.6,5
2016-02-10,23.8,80.8,16.6,2
2016-02-11,25.3,79.2,12.5,2
2016-02-12,26.3,71.1,22.3,2
