datetime,LAC_2_temp,LAC_2_humidity,LAC_2_windspeed,LAC_2_conditions
2016-07-16,9.1,71.0,16.4,2
2016-07-17,8.3,77.6,14.8,1
2016-07-18,8.0,74.2,10.8,1
2016-07-19,8.3,70.7,20.1,1
2016-07-20,8.1,72.9,13.0,0
2016-07-21,8.6,72.4,12.8,0
2016-07-22,10.0,73.2,16.4,0
2016-07-23,10.9,71.2,11.0,2
2016-07-24,12.5,63.0,13.0,0
2016-07-25,14.0,67.1,23.6,0
2016-07-26,14.1,69.2,20.3,2
2016-07-27,8.1,77.3,22.1,1
2016-07-28,8.3,71.8,9.3,2
2016-07-29,9.9,65.6,14.4,2
2016-07-30,10.3,70.0,13.0,0
2016-07-31,13.5,68.0,23.6,0
2016-08-01,12.5,69.2,16.2,2
2016-08-02,13.9,59.8,20.0,0
2016-08-03,14.1,64.7,23.6,0
2016-08-04,13.1,69.1,9.5,0
2016-08-05,16.9,61.7,18.1,0
2016-08-06,17.2,71.2,27.5,2
2016-08-07,13.4,89.7,14.6,4
2016-08-08,15.6,71.8,22.1,5
2016-08-09,15.5,71.3,18.2,5
2016-08-10,14.5,69.8,16.6,2
2016-08-11,13.1,69.8,18.1,0
2016-08-12,14.1,63.9,23.9,0
2016-08-13,16.1,57.7,17.8,0
2016-08-14,17.7,53.3,14.6,0
2016-08-15,18.4,51.3,18.1,0
2016-08-16,18.9,49.5,18.2,0
2016-08-17,15.8,49.9,16.6,0
2016-08-18,13.1,52.4,18.1,0
2016-08-19,13.7,48.7,20.4,0
2016-08-20,7.7,63.4,19.4,2
2016-08-21,9.5,56.4,14.6,2
2016-08-22,10.2,56.6,21.9,0
2016-08-23,11.8,51.9,16.4,0
2016-08-24,13.0,52.3,18.3,0
2016-08-25,16.8,44.2,22.1,0
2016-08-26,17.8,48.0,16.5,0
2016-08-27,17.2,52.7,22.3,2
2016-08-28,10.9,62.9,14.8,5
2016-08-29,7.7,82.6,13.0,10
2016-08-30,10.8,61.7,20.2,0
2016-08-31,13.6,52.0,18.3,0
2016-09-01,12.9,54.1,25.8,0
2016-09-02,6.6,80.9,16.6,5
2016-09-03,4.3,79.8,18.2,5
2016-09-04,4.7,63.7,14.8,1
2016-09-05,4.7,59.1,12.7,2
2016-09-06,7.5,56.2,21.9,0
2016-09-07,10.5,50.7,21.9,0
2016-09-08,12.8,46.3,18.4,0
2016-09-09,15.0,45.9,18.1,0
2016-09-10,16.4,49.8,18.4,0
2016-09-11,19.0,41.4,30.6,0
2016-09-12,22.3,47.8,18.2,2
2016-09-13,16.6,47.8,27.9,2
2016-09-14,13.2,55.3,28.4,2
2016-09-15,13.7,53.2,22.1,0
2016-09-16,15.8,51.1,16.6,0
2016-09-17,19.1,47.4,17.0,0
2016-09-18,19.2,47.2,34.7,2
2016-09-19,15.4,60.2,18.7,2
2016-09-20,14.9,65.9,16.4,2
2016-09-21,17.2,58.2,20.3,0
2016-09-22,20.2,51.0,18.2,3
2016-09-23,16.3,70.1,18.1,4
2016-09-24,12.4,68.6,14.4,1
2016-09-25,14.0,68.1,18.3,0
2016-09-26,16.2,64.7,27.4,0
2016-09-27,19.4,58.9,20.5,0
2016-09-28,22.2,53.8,20.4,2
2016-09-29,22.9,50.1,25.4,2
2016-09-30,21.2,54.0,38.1,2
2016-10-01,19.8,59.4,17.9,1
2016-10-02,20.1,71.9,18.2,5
2016-10-03,19.8,65.6,29.5,5
2016-10-04,18.8,73.3,23.9,5
2016-10-05,16.6,60.1,26.3,5
2016-10-06,15.7,55.4,25.5,0
2016-10-07,17.1,52.2,27.1,2
2016-10-08,15.3,68.3,22.4,1
2016-10-09,14.7,70.9,31.7,2
2016-10-10,18.0,64.9,32.4,2
2016-10-11,20.2,52.5,19.1,2
2016-10-12,23.2,50.3,23.8,2
2016-10-13,22.2,57.8,39.8,2
2016-10-14,21.1,69.2,25.5,2
2016-10-15,22.3,53.2,25.7,2
