datetime,SQM_2_temp,SQM_2_humidity,SQM_2_windspeed,SQM_2_conditions
2016-04-11,18.6,66.3,18.4,2
2016-04-12,18.5,64.4,22.3,0
2016-04-13,17.3,76.2,25.9,0
2016-04-14,17.0,80.3,20.5,2
2016-04-15,17.7,77.5,16.6,2
2016-04-16,17.9,73.1,20.5,2
2016-04-17,18.4,72.7,18.4,2
2016-04-18,17.9,78.2,25.9,2
2016-04-19,17.1,79.0,31.7,1
2016-04-20,17.1,78.5,25.9,2
2016-04-21,16.5,80.9,20.5,2
2016-04-22,17.1,73.8,22.3,2
2016-04-23,16.5,76.6,24.1,2
2016-04-24,17.2,73.2,22.3,2
2016-04-25,16.7,78.6,31.7,5
2016-04-26,15.6,74.6,22.3,5
2016-04-27,15.4,73.8,20.5,2
2016-04-28,15.5,75.4,20.5,2
2016-04-29,16.5,73.4,22.3,2
2016-04-30,16.5,77.4,22.3,2
2016-05-01,17.9,70.0,24.1,2
2016-05-02,16.8,75.3,20.5,0
2016-05-03,17.6,80.4,20.5,2
2016-05-04,17.4,74.2,18.4,2
2016-05-05,17.5,71.0,20.5,2
2016-05-06,17.5,75.9,24.1,2
2016-05-07,16.9,76.2,14.8,2
2016-05-08,16.6,79.1,18.4,2
2016-05-09,17.0,77.3,18.4,2
2016-05-10,16.5,79.3,16.6,2
2016-05-11,17.9,74.4,22.3,2
2016-05-12,17.1,86.5,20.5,2
2016-05-13,17.3,80.8,18.4,2
2016-05-14,17.4,73.8,25.9,2
2016-05-15,16.1,80.4,25.9,2
2016-05-16,16.3,74.5,20.5,2
2016-05-17,16.1,70.1,25.9,2
2016-05-18,15.8,70.9,22.3,2
2016-05-19,15.8,69.2,20.5,2
2016-05-20,15.2,76.3,22.3,2
2016-05-21,15.5,80.0,25.9,2
2016-05-22,15.0,81.8,16.6,2
2016-05-23,15.1,76.8,18.4,2
2016-05-24,15.5,71.8,24.1,2
2016-05-25,15.7,70.6,24.1,2
2016-05-26,15.6,72.3,25.9,2
2016-05-27,15.7,73.6,24.1,2
2016-05-28,15.5,73.3,27.7,2
2016-05-29,14.8,75.8,29.5,2
2016-05-30,14.8,79.4,22.3,2
2016-05-31,14.9,80.1,24.1,1
2016-06-01,14.2,80.4,29.5,2
2016-06-02,15.6,80.2,16.6,2
2016-06-03,16.2,70.4,37.1,2
2016-06-04,15.0,79.7,22.3,2
2016-06-05,15.2,81.4,27.7,2
2016-06-06,14.4,79.3,27.7,2
2016-06-07,13.8,76.9,22.3,2
2016-06-08,13.4,73.8,20.5,2
2016-06-09,12.8,75.0,20.5,2
2016-06-10,13.4,78.6,16.6,2
2016-06-11,14.7,79.2,16.6,2
2016-06-12,17.1,69.2,25.9,2
2016-06-13,16.0,68.8,16.6,0
2016-06-14,14.4,80.0,20.5,2
2016-06-15,14.0,81.7,22.3,1
2016-06-16,14.3,75.1,18.4,1
2016-06-17,15.4,70.2,16.6,2
2016-06-18,14.5,71.1,18.4,2
2016-06-19,13.6,73.3,18.4,2
2016-06-20,13.6,75.4,24.1,2
2016-06-21,13.5,73.5,20.5,2
2016-06-22,13.3,72.9,18.4,2
2016-06-23,13.9,72.2,13.0,1
2016-06-24,15.1,62.6,25.9,4
2016-06-25,14.6,79.4,20.5,5
2016-06-26,13.4,78.8,24.1,2
2016-06-27,13.5,83.2,22.3,2
2016-06-28,14.0,78.9,18.4,2
2016-06-29,13.8,83.7,25.9,2
2016-06-30,14.1,80.3,13.0,1
2016-07-01,14.0,76.9,9.4,1
2016-07-02,14.3,83.3,11.2,1
2016-07-03,15.2,78.1,20.5,1
2016-07-04,14.8,78.3,16.6,2
2016-07-05,13.7,74.0,29.5,0
2016-07-06,14.0,81.2,18.4,2
2016-07-07,14.7,71.0,20.5,2
2016-07-08,15.0,79.0,33.5,5
2016-07-09,14.5,87.8,20.5,2
2016-07-10,14.7,86.3,14.8,1
2016-07-11,14.9,77.0,24.1,2
2016-07-12,13.9,77.5,22.3,2
2016-07-13,13.9,72.4,18.4,2
2016-07-14,14.2,73.3,20.5,2
2016-07-15,14.1,75.0,29.5,2
2016-07-16,13.5,76.9,29.5,2
2016-07-17,14.7,64.8,22.3,2
2016-07-18,12.9,75.4,24.1,2
2016-07-19,13.3,73.4,16.6,2
2016-07-20,13.4,76.3,22.3,2
2016-07-21,14.5,74.0,25.9,2
2016-07-22,13.6,74.9,18.4,2
2016-07-23,14.4,74.5,31.7,2
2016-07-24,14.6,75.7,16.6,1
2016-07-25,14.4,79.1,38.9,2
2016-07-26,14.2,83.1,27.7,2
