,headline,date,snippet,source
1029,GRAPHIC-Glencore's Congo woes throw spotlight on country's cobalt dominance,08/05/2018,is a key component in therechargeable lithium-ion batteries used to power,reuters
1030,African Markets - Factors to watch on May 8,08/05/2018,"nickel refinery to produce battery grade lithium or alternatively build a new lithium carbonate plant at a cost of up to $150 million, its",reuters
1031,Zimbabwe miner looking at refinery upgrade for battery grade lithium,07/05/2018,upgrading a local nickel refinery to produce battery grade lithium or alternatively build a new lithium carbonate plant at a cost of up to $150,reuters
1032,REFILE-Brazil's Sigma Lithium to list in Toronto next week,03/05/2018,")By Nicole MordantMay 2 (Reuters) - Sigma Lithium Resources is set to list, as theBrazil-based lithium mine developer eyes a wave of demand forthe metal",reuters
1033,"FMC sees strong outlook for lithium demand, prices",03/05/2018,"TORONTO, May 3 (Reuters) - FMC Corporation ""on track"" forlithium IPO in October 2018 - CEO Pierre BrondeauFMC Corp says lithium customers",reuters
1034,"Savannah boosts Portugal lithium estimate, shares jump",02/05/2018,"a more than 50 percent jump in the size ofPortuguese lithium resources, driving its shares more than13 percent higher.Lithium projects",reuters
1035,"Australian shares rise on record Qantas outlook, stronger banks; NZ up",01/05/2018,Lithium mine in the west ofAustralia.The wider materials sector also,reuters
1036,Australia's Mineral Resources says to sell minority stake in lithium project,01/05/2018,"to sell a minority stake in its Wodgina Lithium mine in the west a joint venture with China's largest lithium producer, Jiangxi Ganfeng",reuters
1037,COLUMN-China's metals trade is facing a year of upheaval: Andy Home,30/04/2018,purity metal for use insuperalloys and lithium batteries.Previous,reuters
1038,BRIEF-Celanese Announces Gur Capacity Expansion At Its China Engineered Materials Manufacturing Facility,30/04/2018,CAPACITY BY 2019* CELANESE - SEEING MARKET GROWTH FOR GUR IN LITHIUM,reuters
1039,Vedanta chairman told Anglo not to sell South African assets,30/04/2018,to meet soaring demand for the metal's for the lithium-ion batteries,reuters
1040,BRIEF-Moody's Says Metals Supply Shortfall Could Slow Near Term Battery Electric Vehicle Growth,30/04/2018,"OF CHARGING STATIONS IS BUILT OUT* MOODY'S SAYS DEMAND FOR LITHIUM, COBALT",reuters
1041,REFILE-Galaxy hires JP Morgan to advise on Argentina lithium mine options,30/04/2018,")MELBOURNE, April 30 (Reuters) - Australian lithium minerGalaxy Resources ""strategic options"" for its Sal deVida lithium and potash project in Argentina",reuters
1042,Galaxy hires JP Morgan to advise on Argentina lithium mine options,30/04/2018,"MELBOURNE (Reuters) - Australian lithium miner Galaxy Resources said options"" for its Sal de Vida lithium and potash project in Argentina",reuters
1043,Better battery packaging on planes overlooks other safety concerns: airlines,27/04/2018,"global packaging standards expected in late 2018 will allow lithium described finding packages of mislabeled lithium-ion batteries, often",reuters
1044,Better battery packaging on planes overlooks other safety concerns - airlines,27/04/2018,"will allow lithium-ionbatteries back into passenger plane cargo holds lithium-ion batteries, often by shippers trying toavert the ban. Hong",reuters
1045,BRIEF-Nemaska Lithium And Northvolt Announce Signature Of Agreement In Principle For Supply Of Lithium Hydroxide,27/04/2018,"April 27 (Reuters) - Nemaska Lithium Inc:* NEMASKA LITHIUM OF LITHIUM HYDROXIDE* NEMASKA LITHIUM - UNDER AGREEMENT, CO AGREED TO SUPPLY",reuters
1046,Britain looks to ancient mines for electric future,27/04/2018,"shows the extent to which mines also contain deposits of lithium, the so to produce lithium at the Zinnwald project in Southern Saxony to help secure",reuters
1047,Vale eyes $1 billion in dividends each quarter this year,26/04/2018,"because of oversupply, despite the metal's key role in lithium-ion",reuters
