,headline,date,snippet,source
76,Chile's lithium miner SQM asks court to reject Tianqi agreement,13/09/2018,woulddistort the global lithium market.Tianqi’s interest in SQMBy Fabian CamberoSept 13 (Reuters) - Chilean lithium miner SQM,reuters
77,Chilean regulator says agreement reached with Tianqi on SQM stake sale,08/09/2018,"FNE said on Friday it had reached an agreement with Tianqi Lithium Corp in the process of finalizing the investment agreement.""Tianqi Lithium",reuters
78,Tianqi Lithium says will comply with Chilean regulator on SQM investment,07/09/2018,"BEIJING, Sept 8 (Reuters) - China's Tianqi Lithiumsaid on Saturday-trust regulator FNE regardingTianqi's purchase of a stake in lithium",reuters
79,Exclusive: Lithium producer Albemarle eyes buying rival if IPO stumbles - source,05/09/2018,"and China's Tianqi Lithium Corp <002466.SZ>, by pumping up its, the world's largest lithium producer, could buy FMC Corp's ",reuters
80,China's Ganfeng Lithium files for Hong Kong listing,30/08/2018,"to the mainstream market.Ganfeng joins its domestic counterpart Tianqi Lithium CorpHONG KONG, Aug 31 (Reuters) - China's Ganfeng Lithium Co Ltdhas",reuters
81,RPT-FOCUS-Inside Albemarle's quest to reinvent the lithium market,30/08/2018,"Tianqi Lithium Corp.Albemarle has historically sold basic typesThe global lithium business is dominated by Albemarle, SQM,Tianqi",reuters
82,Inside Albemarle's quest to reinvent the lithium market,30/08/2018,", including Chile's SQM and China's Tianqi Lithium Corp.Albemarle hasBy Ernest Scheyder(Reuters) - As global demand for lithium hits",reuters
83,FOCUS-Inside Albemarle's quest to reinvent the lithium market,30/08/2018,"competitors, includingChile's SQM and China's Tianqi Lithium Corp.AlbemarleBy Ernest ScheyderAug 30 (Reuters) - As global demand for lithium",reuters
84,China's Tianqi Lithium files for $1 billion Hong Kong listing: sources,20/08/2018,", the world's No.2 lithium miner, in May.The majority of Tianqi's listingBy Julie Zhu and Fiona LauHONG KONG (Reuters/IFR) - China's Tianqi",reuters
85,"METALS-London copper ticks above $6,000 a tonne as dollar slips",20/08/2018,"by robust oil and base metals prices. * LITHIUM: China's Tianqi Lithium stock marketflotation, despite this year's fall in lithium prices, two",reuters
86,China's Tianqi Lithium seeks up to $1 billion in Hong Kong listing - sources,20/08/2018,"HONG KONG, Aug 20 (Reuters/IFR) - China's Tianqi LithiumCorp, despite this year's fall inlithium prices, two people close",reuters
87,China's Ganfeng buys SQM's stake in lithium project for $87.5 mln,13/08/2018,"this year, China's Tianqi Lithium Corpsaid it was buying a 24 percent lithium producers, said on Monday that itagreed to sell its 50",reuters
88,"Peru president expects lithium, uranium mining laws passed in 6 months",10/08/2018,"attract companies such as China's Tianqi Lithium Corpor U.S.-based six months needed to tap a new lithium and uraniumdeposit, removing",reuters
89,China M&A picks up – for now,03/08/2018,"example, privately owned TianqiLithium is raising a US$3.5bn term loan yMinera de Chile, the world's second-largest lithium producer.Other",reuters
90,CORRECTED-CEO of Chilean lithium miner SQM resigns,26/07/2018,"The purchase by Chinese miner Tianqi Lithium Corp'sin May of a 24 percent Jara and Aislinn LaingSANTIAGO, July 25 (Reuters) - Chilean lithium",reuters
91,Tianqi board backs major expansion at Australian lithium mine,25/07/2018,"MELBOURNE (Reuters) - Tianqi Lithium Corp said its board has approved.Project operator Talison Lithium, a joint venture between Tianqi and U.S",reuters
92,Tantalum miner threatens expansion at Australia's biggest lithium mine,25/06/2018,"China's Tianqi Lithium holds a stake, would unfairly impact its. Talison Lithium, a joint venture between units of lithium giants Tianqi",reuters
93,Tantalum producer Global Advanced Metals says trial dates with Talison Lithium set,24/06/2018,of global lithium miners Tianqi Lithium Industries Incand U.S.-based Lithium's expansion of Western Australia'sGreenbushes mine should,reuters
94,Chile antitrust regulator to probe Tianqi purchase of SQM stake,15/06/2018,into the effects on the market of Chinese miner Tianqi Lithium Corp's percent of the global lithium market.Tianqi's interest in SQM comes,reuters
95,Chile anti-trust regulator to probe Tianqi purchase of SQM stake,15/06/2018,"of China's Tianqi purchase last month of a24 percent stake in SQM , one of the world'stop lithium producers.Chile's government under",reuters
96,RPT-COLUMN-The battle for control of the lithium mother-lode: Andy Home,10/06/2018,"to this board room drama is thepresence of China's Tianqi Lithium, currently are those of the author, a columnist for Reuters.)* Lithium Carbonate",reuters
97,COLUMN-The battle for control of the lithium mother-lode: Andy Home,08/06/2018,"of China's Tianqi Lithium, currentlykicking its heels waiting for approval for Reuters.)* Lithium Carbonate Prices: https://tmsnrt.rs/2LyMHCS",reuters
98,Canada's Nutrien auctions remaining shares in lithium miner SQM for nearly $1 billion,01/06/2018,) per share.China's Tianqi Lithium Corp last month said it would buy its remaining stake in Chile lithium miner SQM on Friday for nearly $1,reuters
99,Canada's Nutrien auctions remaining shares in lithium miner SQM for nearly $1 bln,01/06/2018,China's Tianqi Lithium Corp last month said itwould buy nearly auctioned its remaining stake in Chile lithiumminer SQM on Friday,reuters
100,China's Tianqi Lithium to buy a quarter of Chile's SQM for $4.1 billion,17/05/2018,Tianqi Lithium Corp <002466.SZ> said on Thursday it will buy nearly a quarter of Chilean lithium producer SQM  for $4.1,reuters
101,Chile gov't to respect FNE regulator ruling on Tianqi - minister,17/05/2018,"Tianqi's right to purchase a stake in Chilean lithiumproducer SQM, Economy.Tianqi Lithium Corp said earlier on Thursday itwould buy a 24 percent",reuters
102,RPT-UPDATE 1-China's Tianqi Lithium to buy stake in Chile's SQM for $4.07 billion,17/05/2018,lithium producer SociedadQuimica Y Minera (SQM) to China's Tianqi Lithium.Tianqi is buying 62.5 million Class A shares of SQM and willpay $65,reuters
103,CANADA STOCKS-Futures little changed amid a rise in oil prices,17/05/2018,in Chileanlithium producer Sociedad Quimica Y Minera (SQM) toTianqi Lithium Corp for $4.07 billion.Pipeline operator Enbridge Inc said,reuters
104,RPT-China's Tianqi to buy stake worth $4.07 billion in Chile's SQM,17/05/2018,Sociedad Quimica Y Minera(SQM) to Tianqi Lithium Corp for $4.07billion it would sell 62.5 million Class Ashares in Chilean lithium producer,reuters
105,China's Tianqi to buy stake worth $4.07 billion in Chile's SQM,17/05/2018,producer Sociedad Quimica Y Minera(SQM) to Tianqi Lithium Corp on Thursday it would sell 62.5 million Class Ashares in Chilean lithium,reuters
106,BRIEF-Tianqi Lithium Agrees To Purchase Nutrien's Sqm A Share Investment,17/05/2018,"May 17 (Reuters) - Nutrien Ltd:* TIANQI LITHIUM AGREES TO PURCHASE OF APPROXIMATELYUS$4.07 BILLION.* NUTRIEN - CO, TIANQI LITHIUM SIGNED",reuters
107,Exclusive: China's Tianqi nears $4.3 billion deal to buy stake in Chile's SQM - sources,15/05/2018,Tianqi Lithium <002466.SZ> is nearing a deal to buy a 24 percent-cost producer of lithium.Tianqi's interest comes as Beijing,reuters
108,METALS-Copper struggles as dollar hovers near five-month peak,15/05/2018,"LITHIUM: China's Tianqi Lithium is nearing adeal to buy a 24 biggest lithium producers,for about $4.3 billion. MINING: Rio Tinto",reuters
109,China's Tianqi alleged errors in Chile effort to block SQM stake - papers,07/04/2018,SANTIAGO (Reuters) - China's Tianqi Lithium Corp <002466.SZ lithium market and emphasized that Tianqi is a private company,reuters
110,"As China ties up global lithium, Asian rivals must bet big on South America",06/04/2018,Chinese lithium giant Tianqi moved to purchase a coveted 32 percent stake) - South America's lithium triangle is the lowest-cost place to produce,reuters
111,China miner Tianqi meets with Chilean anti-trust prosecutor on SQM,04/04/2018,"lithium giant Tianqi Lithium met with Chile's top anti-trust prosecutor, Tianqi and SQM, the world's second-biggest lithium producer after U.S",reuters
112,METALS-Shanghai metals prices fall as U.S.-China trade row escalates,03/04/2018,: Representatives of Chinese lithium giant Tianqimet with Chile's top copper concentrator in orderto replace a leaking pipe. * LITHIUM,reuters
113,RPT-Tiny Chilean regulator thrust into global lithium battle,21/03/2018,-based SQMfor more than $4 billion to Chinese bidder Tianqi Lithium (Reuters) - A global battle for lithiumhas landed in the office,reuters
114,Tiny Chilean regulator thrust into global lithium battle,20/03/2018,"$4 billion to Chinese bidder Tianqi Lithium or any state-backed firm, Tianqi and SQM, the world's second biggest lithium producer after U.S",reuters
115,New Chile govt undecided on blocking SQM sale to China firms -official,16/03/2018,"of a 32 percent stake in SQM to China's TianqiLithium or any related week that Tianqi Lithium presented a ""non-binding"" offerfor Nutrien",reuters
116,RPT-EXPLAINER-Chile attempts to block China from prize lithium asset,14/03/2018,"in SQM by ""TianqiLithium, or any entity related to it directlyseeks to block Tianqi Lithium, one of China's toplithium producers",reuters
117,Explainer: Chile attempts to block China from prize lithium asset,13/03/2018,"that the purchase of a stake in SQM by ""Tianqi Lithium, or any entity for the stake. But it certainly seeks to block Tianqi Lithium, one",reuters
118,EXPLAINER-Chile attempts to block China from prize lithium asset,13/03/2018,"that the purchase of a stake in SQM by ""TianqiLithium, or any entity related for the stake. But it certainlyseeks to block Tianqi Lithium, one of China's",reuters
119,Exclusive: Chile files complaint to block sale of SQM shares to Chinese companies,09/03/2018,"that the purchase of a stake in SQM by ""Tianqi Lithium, or any entity that Tianqi Lithium late in 2017 presented a ""non-binding"" offer",reuters
120,LMEWEEK-Codelco's lithium a magnet for more than 10 firms - chairman,31/10/2017,"lithium processing: U.S.-listed FMCand Albemarle, China's Tianqi Lithium* Codelco seeks partners to value lithium assets in Chile* Lithium",reuters
121,China's Sinochem says no plans to bid for stake in Chilean lithium producer SQM,23/10/2017,"were Ningbo Shanshan, Tianqi Lithium and GSR Capital.Ningbo Shanshan in SQM, while Tianqi Lithium and GSR Capital did not respond to requests",reuters
122,Lithium processors prepare to meet demand in era of electric car,07/08/2017,"estimates FMC, Albemarle, SQM and China's Tianqi Lithium Corporation < and Australia to develop deposits. Tianqi Lithium declined to comment",reuters
123,REFILE-Lithium processors prepare to meet demand in era of electric car,07/08/2017,and China's Tianqi Lithium Corporationtogether accounted for 66 percentventures in Argentina and Australia to develop deposits.Tianqi Lithium,reuters
124,BRIEF-Albemarle positioned to double lithium concentrate production at Greenbushes facility,16/03/2017,"and tianqi lithium, has approvedexpansion of lithium concentrate",reuters
125,BRIEF-Albemarle and Tianqi terminate option for indirect minority interest in Albemarle subsidiary,22/02/2017,Feb 22 (Reuters) - Tianqi Lithium Industries Inc:* Albemarle and Tianqi terminate option for indirectminority interest in Albemarle,reuters
126,Cornish lithium dreams may die in South America's salt lakes: Andy Home,06/02/2017,"chain is controlled by Chinese entities such as Tianqi Lithium, which of lithium demand. Tianqi has announced both a hydroxide plant",reuters
127,RPT-COLUMN-Cornish lithium dreams may die in South America's salt lakes: Andy Home,06/02/2017,for the next wave of lithium demand.Tianqi has announced both a hydroxide) - There's lithium in them thereCornish hills!News that a start-up,reuters
128,COLUMN-Cornish lithium dreams may die in South America's salt lakes: Andy Home,03/02/2017,"by Chinese entities such asTianqi Lithium, which holds a stakeBy Andy HomeLONDON, Jan 3 (Reuters) - There's lithium in them",reuters
129,Chile's SQM to pay $30 million U.S. penalty over invoices case,13/01/2017,"SANTIAGO (Reuters) - Chilean lithium and fertilizer giant SQM said producers of lithium and iodine, had from 2008 to 2015 illicitly funneled",reuters
130,Chile's SQM to pay $30 mln U.S. penalty over invoices case,13/01/2017,"By Rosalba O'BrienSANTIAGO (Reuters) - Chilean lithium atSQM , one of the world's biggestproducers of lithium and iodine",reuters
