idx,headline,date,source
190,Pioneering 'liquid air' project can help store excess electricity,2018-06-05T05:00:36Z,The Guardian
191,Tesla to build world's biggest lithium ion battery in South Australia,2017-07-07T03:42:03Z,The Guardian
192,Carmageddon: it’s killing urban life. We must reclaim our cities before it’s too late | George Monbiot,2019-06-20T13:10:07Z,The Guardian
193,A lightbulb moment for nuclear fusion?,2019-10-27T08:00:15Z,The Guardian
194,Electric bike share launches in Sydney despite failure of other schemes,2018-11-11T05:22:47Z,The Guardian
195,'Just a matter of when': the $20bn plan to power Singapore with Australian solar,2019-07-14T01:52:25Z,The Guardian
196,Nobel prize in physics awarded for work on cosmology – as it happened,2019-10-08T11:35:14Z,The Guardian
197,Hydrogen is the energy future | Letters,2018-05-18T15:39:33Z,The Guardian
198,Čezeta e-scooter: ‘The rebirth of the chicest communist-era scooter of all time’ | Martin Love,2018-11-18T06:00:54Z,The Guardian
199,Cars are killing us. Within 10 years,2019-03-07T06:00:13Z,The Guardian
200,Energy storage leap could slash electric car charging times,2018-02-26T17:32:00Z,The Guardian
201,How Tesla's big battery is bringing Australia’s gas cartel to heel,2018-02-06T02:40:13Z,The Guardian
202,Electric cars: separating the facts from the propaganda,2019-04-09T00:08:33Z,The Guardian
203,Mining firm hopes to extract lithium from Cornwall's hot springs,2017-01-19T11:00:43Z,The Guardian
204,We’ve been warned about drones but can we prevent another Gatwick?,2018-12-23T06:07:18Z,The Guardian
205,Labor says Australia can remain energy 'superpower' – but only if climate wars end,2018-10-03T22:45:06Z,The Guardian
206,Electric passenger jet revolution looms as E-Fan X project takes off,2017-12-28T07:00:39Z,The Guardian
207,California’s big battery experiment: a turning point for energy storage?,2017-09-15T06:00:02Z,The Guardian
208,Batteries included in energy storage ideas | Letters,2018-05-15T17:28:09Z,The Guardian
209,The rise of electric cars could leave us with a big battery waste problem,2017-08-10T08:15:27Z,The Guardian
210,Use excess wind and solar power to produce hydrogen – report,2018-05-08T23:01:31Z,The Guardian
211,Elon Musk’s dream ideas,2018-02-18T06:59:19Z,The Guardian
212,While economic growth continues we’ll never kick our fossil fuels habit | George Monbiot,2018-09-26T05:00:11Z,The Guardian
213,Super Soco E-Motorbike preview: ‘Commuting isn’t supposed to be this much fun’ | Martin Love,2017-12-17T06:00:23Z,The Guardian
214,Campaign urges people to recycle dead batteries,2017-10-03T05:45:19Z,The Guardian
215,Electric cars emit 50% less greenhouse gas than diesel,2017-10-25T12:12:26Z,The Guardian
216,Elon Musk's big battery brings reality crashing into a post-truth world | Tim Hollo,2017-07-07T21:00:36Z,The Guardian
217,Carmakers’ electric dreams depend on supplies of rare minerals,2017-07-29T15:00:00Z,The Guardian
218,Electric cars may stall without a battery revolution,2017-07-19T06:00:12Z,The Guardian
